radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,precision,recall,f1,aciertos,predichos,verdaderos
200,1,2,102,79.5,5.06458290484024,22.5,10,0.2647058823529412,0.0045,0.008849557522123894,27,102,6000
200,1,3,0,0.1,0.30000000000000004,-0.1,10,,0.0,0.0,0,0,6000
200,1,4,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,2,2,202,185.7,9.381364506296514,16.30000000000001,10,0.3415841584158416,0.0115,0.022250886810706222,69,202,6000
200,2,3,6,1.7,1.1,4.3,10,0.8333333333333334,0.0008333333333333334,0.001665001665001665,5,6,6000
200,2,4,1,0.0,0.0,1.0,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
200,2,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,3,2,240,238.5,9.135097153287424,1.5,10,0.425,0.017,0.032692307692307694,102,240,6000
200,3,3,10,3.4,1.9595917942265422,6.6,10,0.9,0.0015,0.0029950083194675544,9,10,6000
200,3,4,1,0.0,0.0,1.0,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
200,3,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,5,2,323,312.4,14.772948250095508,10.600000000000023,10,0.4984520123839009,0.026833333333333334,0.05092519373715008,161,323,6000
200,5,3,39,10.8,1.9899748742132397,28.2,10,0.9230769230769231,0.006,0.011922503725782414,36,39,6000
200,5,4,5,0.2,0.4000000000000001,4.8,10,1.0,0.0008333333333333334,0.0016652789342214824,5,5,6000
200,5,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,10,2,415,365.3,16.062689687595913,49.69999999999999,10,0.41445783132530123,0.028666666666666667,0.05362431800467654,172,415,6000
200,10,3,62,25.1,4.437341546466758,36.9,10,0.8387096774193549,0.008666666666666666,0.01715605410755526,52,62,6000
200,10,4,8,1.9,0.8306623862918074,6.1,10,1.0,0.0013333333333333333,0.0026631158455392807,8,8,6000
200,10,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,1,2,314,252.7,12.066896867049126,61.30000000000001,10,0.20382165605095542,0.010666666666666666,0.02027241051631296,64,314,6000
300,1,3,6,1.8,1.077032961426901,4.2,10,0.5,0.0005,0.0009990009990009992,3,6,6000
300,1,4,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,2,2,514,487.8,16.767826334978544,26.19999999999999,10,0.29571984435797666,0.025333333333333333,0.04666871354006755,152,514,6000
300,2,3,38,7.7,3.2878564445547194,30.3,10,0.6578947368421053,0.004166666666666667,0.008280887711162636,25,38,6000
300,2,4,1,0.0,0.0,1.0,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
300,2,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,3,2,603,568.2,21.953587406162118,34.799999999999955,10,0.3466003316749585,0.034833333333333334,0.06330455853399969,209,603,6000
300,3,3,65,18.7,3.661966684720111,46.3,10,0.7846153846153846,0.0085,0.016817807089859853,51,65,6000
300,3,4,1,0.4,0.66332495807108,0.6,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
300,3,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,5,2,674,573.5,15.679604586851035,100.5,10,0.443620178041543,0.049833333333333334,0.08960143841774049,299,674,6000
300,5,3,133,48.8,4.1182520563948,84.2,10,0.7894736842105263,0.0175,0.034240991358225996,105,133,6000
300,5,4,17,0.9,0.7000000000000001,16.1,10,1.0,0.0028333333333333335,0.005650656473325579,17,17,6000
300,5,5,1,0.0,0.0,1.0,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
300,10,2,595,476.6,24.071559982684963,118.39999999999998,10,0.492436974789916,0.04883333333333333,0.088855193328279,293,595,6000
300,10,3,204,121.2,11.556816170554933,82.8,10,0.75,0.0255,0.049323017408123795,153,204,6000
300,10,4,35,5.9,2.0223748416156684,29.1,10,0.9428571428571428,0.0055,0.010936205468102735,33,35,6000
300,10,5,4,0.0,0.0,4.0,10,0.75,0.0005,0.000999333777481679,3,4,6000
400,1,2,586,502.3,17.464535493393463,83.69999999999999,10,0.18600682593856654,0.018166666666666668,0.03310051624658367,109,586,6000
400,1,3,16,4.5,1.8027756377319946,11.5,10,0.625,0.0016666666666666668,0.0033244680851063826,10,16,6000
400,1,4,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
400,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
400,2,2,746,733.7,27.806653879961896,12.299999999999955,10,0.2587131367292225,0.03216666666666667,0.0572190927957308,193,746,6000
400,2,3,67,26.8,5.635601121442148,40.2,10,0.582089552238806,0.0065,0.01285643645953519,39,67,6000
400,2,4,3,0.3,0.6403124237432849,2.7,10,1.0,0.0005,0.0009995002498750627,3,3,6000
400,2,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
